dataset,method,epsilon,runtime_sec,height_m,length_m,width_m,floor_inliers,top_inliers
example1kinect,ransac,0.003,3.462,0.1983,0.4759,0.308,66316,34991
example1kinect,mlesac,0.003,4.1871,0.1971,0.4827,0.3187,63489,34655
example2kinect,ransac,0.003,3.4391,0.1928,0.4827,0.3196,51624,20394
example2kinect,mlesac,0.003,3.6266,0.1937,0.4734,0.3094,51726,20632
example3kinect,ransac,0.003,3.8495,0.1914,0.5287,0.3699,63549,13104
example3kinect,mlesac,0.003,4.5684,0.1935,0.5289,0.3726,63161,13345
example4kinect,ransac,0.003,4.3374,0.1908,0.5011,0.3917,54176,25212
example4kinect,mlesac,0.003,4.5464,0.1892,0.5275,0.4099,56419,24940
example1kinect,ransac,0.005,4.1939,0.196,0.4801,0.3106,91491,35946
example1kinect,mlesac,0.005,4.6549,0.1956,0.4768,0.31,91717,35904
example2kinect,ransac,0.005,4.2556,0.1911,0.4745,0.3063,80874,22144
example2kinect,mlesac,0.005,4.5776,0.1927,0.4752,0.3069,82947,22104
example3kinect,ransac,0.005,4.4462,0.1962,0.5298,0.3706,93507,15157
example3kinect,mlesac,0.005,4.6769,0.1935,0.5304,0.3693,92928,15183
example4kinect,ransac,0.005,4.6916,0.1881,0.4938,0.3774,86811,27566
example4kinect,mlesac,0.005,5.7498,0.1896,0.4935,0.3764,88985,27556
example1kinect,ransac,0.007,4.5408,0.1917,0.4827,0.314,105609,36295
example1kinect,mlesac,0.007,4.3952,0.1967,0.4817,0.3128,104713,36128
example2kinect,ransac,0.007,4.1327,0.1884,0.4784,0.3085,103288,22363
example2kinect,mlesac,0.007,3.7281,0.1912,0.4783,0.3082,102013,22316
example3kinect,ransac,0.007,3.2945,0.1861,0.5333,0.3732,110086,15375
example3kinect,mlesac,0.007,3.6642,0.1935,0.5331,0.3731,111147,15321
example4kinect,ransac,0.007,3.3478,0.1889,0.4944,0.3769,110720,27836
example4kinect,mlesac,0.007,4.0198,0.189,0.4921,0.3765,108834,27773
example1kinect,ransac,0.01,3.6574,0.1816,0.4846,0.3173,119521,36926
example1kinect,mlesac,0.01,3.6545,0.1948,0.4825,0.3163,118836,36458
example2kinect,ransac,0.01,3.9215,0.2056,0.4821,0.3075,126769,22363
example2kinect,mlesac,0.01,3.7031,0.1898,0.4813,0.3101,124983,22467
example3kinect,ransac,0.01,3.3081,0.1779,0.5379,0.3756,129307,15486
example3kinect,mlesac,0.01,3.5453,0.1944,0.5338,0.3789,127271,15436
example4kinect,ransac,0.01,3.3242,0.1854,0.5011,0.3811,136821,28024
example4kinect,mlesac,0.01,3.568,0.188,0.4953,0.3779,129781,27920
