dataset,method,epsilon,M,B,runtime_sec,height_m,length_m,width_m,abs_err_height_vs_ransac_m,abs_err_length_vs_ransac_m,abs_err_width_vs_ransac_m
example1kinect,preemptive,0.005,64,100,0.0413,0.1951,0.4769,0.3102,0.0009,0.0032,0.0004
example2kinect,preemptive,0.005,64,100,0.0408,0.196,0.4766,0.3072,0.0049,0.0022,0.001
example3kinect,preemptive,0.005,64,100,0.0404,0.1978,0.545,0.3839,0.0016,0.0151,0.0134
example4kinect,preemptive,0.005,64,100,0.0394,0.1907,0.5005,0.3856,0.0026,0.0067,0.0082
example1kinect,preemptive,0.005,64,200,0.0421,0.1992,0.4801,0.3106,0.0032,0.0,0.0
example2kinect,preemptive,0.005,64,200,0.0394,0.1912,0.4745,0.3064,0.0001,0.0001,0.0001
example3kinect,preemptive,0.005,64,200,0.0386,0.1952,0.5263,0.3656,0.001,0.0035,0.005
example4kinect,preemptive,0.005,64,200,0.0428,0.1899,0.4933,0.3761,0.0017,0.0006,0.0012
example1kinect,preemptive,0.005,64,400,0.0401,0.1949,0.4771,0.3101,0.0011,0.0031,0.0005
example2kinect,preemptive,0.005,64,400,0.0416,0.1933,0.4779,0.3088,0.0021,0.0034,0.0026
example3kinect,preemptive,0.005,64,400,0.0403,0.199,0.5396,0.3384,0.0028,0.0097,0.0322
example4kinect,preemptive,0.005,64,400,0.0376,0.1948,0.4899,0.3743,0.0067,0.004,0.003
example1kinect,preemptive,0.005,256,100,0.0516,0.1961,0.4799,0.3095,0.0001,0.0003,0.0011
example2kinect,preemptive,0.005,256,100,0.0512,0.1936,0.4736,0.3044,0.0024,0.0009,0.0019
example3kinect,preemptive,0.005,256,100,0.0491,0.194,0.5305,0.3695,0.0021,0.0007,0.001
example4kinect,preemptive,0.005,256,100,0.053,0.1901,0.4934,0.3763,0.0019,0.0004,0.001
example1kinect,preemptive,0.005,256,200,0.0728,0.1985,0.4802,0.3106,0.0025,0.0,0.0
example2kinect,preemptive,0.005,256,200,0.0466,0.1924,0.4768,0.3075,0.0013,0.0024,0.0012
example3kinect,preemptive,0.005,256,200,0.053,0.1961,0.5318,0.3726,0.0,0.002,0.002
example4kinect,preemptive,0.005,256,200,0.0509,0.1903,0.4942,0.3773,0.0022,0.0003,0.0001
example1kinect,preemptive,0.005,256,400,0.0523,0.196,0.4768,0.31,0.0,0.0033,0.0006
example2kinect,preemptive,0.005,256,400,0.0524,0.1939,0.4779,0.3084,0.0028,0.0034,0.0021
example3kinect,preemptive,0.005,256,400,0.0498,0.1997,0.5531,0.3542,0.0036,0.0233,0.0164
example4kinect,preemptive,0.005,256,400,0.0571,0.189,0.4985,0.3838,0.0008,0.0047,0.0064
example1kinect,preemptive,0.005,1024,100,0.0967,0.1972,0.4768,0.3101,0.0012,0.0033,0.0005
example2kinect,preemptive,0.005,1024,100,0.0948,0.1928,0.4788,0.3104,0.0017,0.0044,0.0041
example3kinect,preemptive,0.005,1024,100,0.0882,0.1949,0.532,0.3717,0.0013,0.0022,0.0011
example4kinect,preemptive,0.005,1024,100,0.1041,0.1886,0.4983,0.3827,0.0004,0.0045,0.0053
example1kinect,preemptive,0.005,1024,200,0.0993,0.1975,0.48,0.3104,0.0014,0.0001,0.0002
example2kinect,preemptive,0.005,1024,200,0.0986,0.1912,0.4768,0.3092,0.0001,0.0023,0.003
example3kinect,preemptive,0.005,1024,200,0.0948,0.1957,0.5339,0.3718,0.0005,0.004,0.0013
example4kinect,preemptive,0.005,1024,200,0.0991,0.1898,0.4984,0.3828,0.0017,0.0046,0.0054
example1kinect,preemptive,0.005,1024,400,0.1068,0.196,0.4768,0.31,0.0,0.0034,0.0006
example2kinect,preemptive,0.005,1024,400,0.1032,0.1932,0.4765,0.3089,0.0021,0.0021,0.0026
example3kinect,preemptive,0.005,1024,400,0.0983,0.1946,0.533,0.3743,0.0016,0.0032,0.0037
example4kinect,preemptive,0.005,1024,400,0.1045,0.1876,0.5013,0.3873,0.0005,0.0075,0.01
